mz,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
124.09703586735463,408137.59375,604120.9375,255145.15625,215036.765625,272873.40625,265085.9375,nan,181369.515625,265934.0,261440.9375,168333.703125,86973.1796875,192962.84375,nan,nan,nan,nan,nan,nan,nan,117982.046875,nan,9,0.00017173532895083083,0.17156359362188001
327.0082160428099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,543459.5625,nan,629940.5625,526827.5,658431.3125,718363.5,570400.9375,nan,nan,553332.8125,184872.296875,10,0.00051165756007423156,0.25557295125707868
327.17593850563134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124359.6796875,nan,383926.96875,901649.3125,184355.296875,266468.15625,222968.140625,nan,nan,382029.40625,819501.5,2,0.00099442952417870371,0.33114503155150837
289.2289820435216,248097.71875,257411.328125,187511.015625,177754.46875,226119.859375,240770.0625,nan,194008.125,209975.1875,169233.96875,192733.078125,154273.84375,146979.375,160326.734375,nan,147344.828125,157238.203125,135101.546875,nan,nan,nan,nan,9,0.001073974011650553,0.2682250094097256
124.12040172235469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102913.96875,nan,80291.875,90152.3828125,105144.390625,138074.125,nan,nan,nan,5,0.0014265471658667134,0.28502412374016933
349.0602078719774,274382.96875,445236.0,175114.515625,639476.625,189150.921875,470162.25,8528.0087890625,350285.78125,246790.171875,621469.75,133058.3125,70040.7265625,239094.578125,nan,103793.75,nan,nan,nan,261175.921875,nan,nan,nan,0,0.0017295864133813478,0.28797613782799442
294.20662851302734,151835.296875,164162.9375,102929.796875,101972.875,140295.421875,199523.890625,nan,123882.125,157012.328125,nan,136935.296875,nan,109739.4921875,79681.3515625,39458.375,nan,33575.203125,nan,nan,nan,39290.921875,nan,9,0.0017352001462210547,0.24763784943926195
168.1232402704431,395016.5,362149.8125,254814.40625,141489.828125,138231.921875,248472.359375,nan,87414.4921875,276370.3125,166989.15625,100515.9453125,nan,224593.5,nan,nan,nan,nan,nan,nan,nan,209655.859375,nan,8,0.0021659424499453615,0.27047206343692703
210.1701664222672,458399.3125,445511.75,406416.8125,328134.0,422174.84375,265577.90625,nan,233322.359375,416365.375,163680.125,218098.78125,163829.390625,199432.0625,158871.625,140880.5625,101382.03125,134926.0625,128259.9765625,153534.15625,nan,174786.453125,nan,9,0.002250720536509653,0.24982997955257147
520.1394045526376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27148.751953125,nan,68201.78125,70028.7890625,85215.9453125,nan,nan,71547.703125,nan,6,0.0022703566960075409,0.22680863393115333
284.12135756014277,358350.125,865183.4375,439170.875,134999.5,170913.40625,156058.59375,nan,108184.40625,650619.9375,1427305.25,509133.59375,287434.25,853423.6875,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0029368334954739022,0.26671787836167532
152.94730577664998,592479.6875,492866.3125,615126.25,436495.71875,560440.5,548536.5625,nan,286834.59375,1270124.5,nan,246066.703125,nan,194486.46875,nan,nan,nan,nan,nan,74267.2109375,nan,nan,nan,3,0.0030428583354948002,0.25331795642994209
186.14906277482754,338399.0,310343.8125,296859.71875,285688.9375,316537.46875,193230.546875,nan,205188.15625,337908.90625,130559.21875,188615.890625,120746.6171875,141325.5,149908.140625,126101.3515625,88312.6484375,119656.9375,123932.609375,126019.25,nan,112842.7109375,nan,9,0.0034819024435959766,0.26757081085787543
262.27424466107,89060.890625,83954.234375,77941.3671875,36169.5859375,69672.203125,40373.015625,nan,59638.3515625,72851.140625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,0.0035082866943659959,0.25034131483368782
283.1177664655883,2145259.25,5244698.0,2603698.5,770341.0,1031481.4375,932458.375,nan,559907.125,4656314.0,9339894.0,3469437.0,1763680.875,5730037.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0038304406738881012,0.25510734888094755
315.1440133713574,368022.96875,366533.1875,255388.015625,171201.75,381139.375,86506.28125,nan,109645.109375,358217.1875,226652.5,181933.09375,92813.953125,191791.71875,220254.40625,nan,69637.1171875,77424.6953125,nan,160336.5625,nan,nan,nan,8,0.0038729383382663787,0.24181658749550702
244.19094204215375,280666.4375,258683.46875,214972.125,203428.21875,267151.78125,122971.921875,nan,79672.078125,264285.3125,80806.2734375,80884.3046875,54153.83203125,138693.015625,68304.640625,123952.3203125,nan,65742.1015625,47145.29296875,68901.3515625,nan,41604.85546875,20950.95703125,9,0.0042617119712179919,0.25043825054392788
305.2517145977813,7105738.5,6856412.5,6260753.5,5550915.5,6547316.0,5589468.0,nan,5540509.0,6737572.0,2397458.25,4754008.0,3109589.5,4446521.5,2947862.25,2056720.25,2624857.25,4279778.0,3139150.5,2414005.75,nan,3875446.5,1122267.25,10,0.0047121190034804753,0.26152260469316635
106.0500991267762,nan,nan,nan,nan,nan,168346.015625,nan,214070.171875,nan,212508.546875,107874.109375,nan,nan,230786.203125,759954.9375,100239.640625,167706.859375,nan,418364.5625,nan,642115.0625,545986.4375,4,0.0047194878283165556,0.24814570213095993
79.02147268736907,1690307.75,1644511.375,1492735.375,1703224.0,1876982.0,1438249.125,nan,1490111.875,1651353.5,nan,1420607.875,1253964.625,1252009.5,1116271.0,nan,1090073.75,1154889.625,nan,1053935.25,nan,nan,nan,9,0.0051742005380370406,0.25845131687495015
