mz,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
280.16263510547424,356047.5,465955.09375,251718.75,227910.171875,596991.0625,nan,nan,315218.09375,416494.59375,nan,301563.90625,219605.640625,nan,244126.953125,nan,190225.671875,253370.15625,214647.5625,276690.21875,nan,234593.171875,nan,5,0.047766594161596003,57.319912993915203
71.08577685574038,251268.546875,255821.0625,274503.25,219383.75,336806.6875,665274.5,nan,704946.0625,315218.375,663733.1875,510071.90625,509490.625,581955.75,668242.0625,618592.875,748838.1875,794537.0,nan,672352.0,nan,658907.4375,191856.90625,10,0.060356631289039633,36.213978773423783
198.05282158856045,nan,2076559.875,919545.75,353521.40625,779874.0625,280649.875,nan,nan,1315919.625,nan,nan,nan,nan,715988.125,nan,nan,nan,497262.5,203307.453125,nan,nan,164601.1875,4,0.15545872965455351,62.183491861821409
71.51263874821436,nan,nan,nan,nan,nan,318509.5,nan,nan,nan,129939.0,nan,nan,nan,113828.296875,159956.59375,29849.279296875,nan,nan,144043.859375,nan,nan,nan,2,0.19517538917084915,58.552616751254746
70.98067858666673,nan,299601.59375,nan,234955.1875,nan,2628821.0,nan,nan,332214.5625,325747.625,227255.71875,nan,216162.0625,404715.375,376926.84375,nan,nan,nan,247620.53125,nan,423937.125,nan,1,0.60374786534209746,144.89948768210337
70.01283662945568,499251.875,1160102.5,565731.625,476787.375,584643.6875,8991263.0,nan,1428464.875,921167.5625,1977548.25,1172682.125,1119533.625,1031337.25,1316541.25,2381689.75,1618011.125,1745310.875,2526963.25,2453627.75,10436.6005859375,2532209.25,1191921.625,10,0.91204625816150542,182.40925163230108
71.95213112815814,248055.953125,339862.78125,245095.609375,175239.40625,311369.53125,2034773.75,nan,307036.03125,736484.8125,952400.3125,278779.53125,304055.21875,199518.625,620598.3125,1019571.5,217013.71875,275796.65625,436838.5625,840314.375,nan,427285.3125,81978.90625,11,0.92125104386425072,157.92875037672869
70.51040649414062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,999,nan
70.51275781422416,nan,nan,24404.515625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,999,nan
70.51348659702465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,999,nan
