mz,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
379.2522057595379,148136.78125,185940.5625,143568.734375,303051.21875,142805.84375,42891.74609375,nan,nan,134556.328125,nan,nan,50318.57421875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,0.0017275283025675067,0.07190836559437247
300.14440977232005,nan,3363364.0,1741856.0,nan,634580.0625,nan,nan,293462.6875,2605451.5,4360649.0,1667518.25,808460.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0017355558866825195,0.069352813231833468
365.03415057091297,nan,1156882.0,531918.0,590217.8125,266385.15625,270387.75,4760.05078125,nan,338357.25,940294.6875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0018012331977382999,0.069208921713098531
207.15929725197702,nan,nan,nan,525269.125,570985.375,nan,nan,nan,nan,nan,nan,nan,nan,574706.375,473978.5625,281004.21875,285374.8125,303228.5625,588057.9375,nan,247447.65625,nan,10,0.0021226170658202367,0.078536831435348758
106.08649608587977,555130.25,521820.9375,436718.78125,63386.578125,280209.90625,174953.40625,3430.7373046875,nan,185193.625,486248.75,102199.1796875,207206.140625,514456.0,270675.90625,nan,4267148.0,nan,nan,nan,5375.0009765625,nan,nan,10,0.0022162054911429763,0.079071045916136909
128.98613828133475,nan,nan,nan,nan,nan,767036.375,nan,nan,nan,nan,nan,nan,nan,377647.21875,nan,nan,227428.890625,185755.34375,344142.40625,nan,758187.4375,334585.6875,1,0.0022447062351258588,0.077326259616921827
191.02290096006737,96466.0625,136703.6875,35400.5546875,nan,104052.5546875,718292.0,nan,247592.90625,128837.0625,797765.125,186872.890625,149263.03125,194993.109375,311393.09375,nan,nan,nan,nan,288044.84375,nan,nan,nan,4,0.002275895864194953,0.075787332277691924
482.246322741901,75449.9921875,194475.71875,188152.75,214832.59375,97784.953125,nan,19044.53515625,nan,73588.8359375,99542.625,nan,581037.1875,nan,nan,nan,nan,nan,nan,nan,19339.77734375,nan,nan,6,0.0041559324739160039,0.13392827553038991
150.02686617118857,292607.4375,1016950.25,210876.921875,252831.171875,277439.90625,nan,nan,209024.28125,308406.4375,296271.90625,144184.921875,nan,nan,100886.703125,nan,nan,nan,nan,nan,nan,nan,nan,5,0.0045915935717296815,0.143343811817436
223.0966966238663,1641822.75,7543806.0,1228325.75,1629842.375,1335307.875,1060274.875,nan,793998.0625,1853309.125,857374.5625,534061.0625,303784.34375,554364.375,227642.53125,157220.90625,nan,nan,nan,303584.0,nan,171218.859375,nan,3,0.005745981965726542,0.17394654496244893
273.02889781226355,nan,145098.328125,303366.46875,115134.359375,103904.75,116013.796875,nan,134647.015625,201671.671875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0057898012250150342,0.17011798305264764
236.90874508647292,265732.0,195902.359375,320870.25,185319.71875,126571.75,100656.421875,nan,nan,232271.515625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0057910577384632485,0.16529333373499386
269.1021895743783,nan,186135.8125,136673.921875,nan,nan,nan,nan,nan,236167.953125,369892.5,133350.28125,79212.8828125,234484.578125,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0057968009516336733,0.16086122640783443
