mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a3.mzML,MSS5a2.mzML,MSS6a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS13a.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a3.mzML,MSS11a2.mzML,MSS11a1.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,pval,qval
349.0602313830732,593807.1875,577768.0,5203466.0,1670723.625,2316666.75,703877.3125,286682.3125,693448.5,589392.8125,330568.1875,204185.328125,813925.0625,nan,nan,nan,nan,nan,177065.40625,nan,nan,nan,4.9186880062234702e-09,1068.8133417600866
327.07825927979957,15768527.0,12155329.0,10377396.0,10480297.0,4821550.5,1735259.625,952620.8125,5381159.0,2025942.5,1777983.375,1467735.875,6771492.0,nan,nan,nan,nan,nan,1127778.75,nan,nan,nan,6.1646456047773655e-09,534.40667088004329
328.0815903944456,3067812.25,2349066.0,1977519.125,1978455.875,1006347.8125,324800.9375,225874.65625,1048241.3125,459583.0,355868.1875,280761.71875,1313375.875,nan,nan,nan,nan,nan,248460.359375,nan,nan,nan,6.2471781850279227e-09,356.27111392002888
223.09669869551868,4138179.0,12514024.0,2550658.75,2651010.5,1738094.75,478644.65625,485480.03125,1212319.625,836853.1875,440661.4375,425692.21875,913234.125,nan,166163.234375,nan,nan,nan,444363.84375,nan,nan,nan,1.7227926078206636e-06,267.20333544002165
283.1177340300007,17904138.0,4491377.5,6970710.5,1468423.0,998724.8125,nan,nan,3898308.0,11328877.0,2014400.875,1324057.25,8063110.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.4105264376685712e-06,213.76266835201733
305.09964171273367,2273922.75,940928.3125,14729573.0,481151.125,908760.75,nan,nan,1717290.25,8388234.0,988724.375,476227.8125,3008686.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.5943911143832919e-06,178.13555696001444
344.1048240290929,4447102.0,3579333.5,2820086.0,2736619.25,1195592.25,549735.5625,301628.6875,1674929.375,nan,413233.25,396266.84375,1366271.875,nan,nan,nan,nan,nan,255399.96875,nan,nan,nan,5.915058259615847e-06,152.68762025144093
364.96411529439195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,144701.625,286885.09375,167092.6875,111427.734375,nan,351802.03125,404760.5625,290158.8125,6.4787506189148523e-06,133.60166772001082
258.02859576016107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,764634.6875,202973.171875,224656.234375,112207.7109375,nan,224899.484375,219619.46875,211307.125,6.5282354626999869e-06,118.75703797334296
149.0234943504555,6642520.0,16963478.0,4330655.5,3909807.25,2928803.75,1692467.25,1443382.25,2148806.0,2347711.25,1815030.375,1623774.75,3203075.25,461620.53125,826887.3125,679812.25,778966.0,975730.1875,1193073.0,527908.875,620519.0625,620949.625,1.496411682083496e-05,106.88133417600866
294.20652821122843,86121.0,127960.1015625,nan,139360.140625,nan,146238.84375,179528.03125,nan,155148.875,100804.578125,94820.875,34722.68359375,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.2048863047783288e-05,97.164849250916959
207.06540722443967,7593762.5,1958845.375,2939403.0,654835.0,nan,nan,nan,1653444.0,5244900.5,992635.125,766887.25,4397485.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.4172851608866019e-05,89.06777848000722
208.06877551574405,887993.375,251516.828125,386546.15625,78237.6640625,nan,nan,nan,188802.8125,651296.375,124680.359375,128329.53125,528074.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.4719209043320982e-05,82.216410904622052
345.1080892474327,821778.0625,682974.0625,601150.25,581759.125,320306.71875,nan,nan,329276.03125,nan,75445.4765625,72895.6015625,283381.0625,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.5345712722491732e-05,76.343810125720466
284.12145705798656,2531912.0,4825825.5,1337776.5,234524.21875,nan,nan,nan,592841.25,3548193.5,858694.0,962739.5625,3459796.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.5469373195166437e-05,71.254222784005776
404.2200032856043,1592478.875,1653340.875,563296.4375,1049032.625,783149.0625,388618.8125,558675.125,1371763.5,547568.625,488802.1875,287620.78125,794061.0625,242763.0,480533.03125,nan,nan,nan,695220.125,nan,nan,nan,0.00011104621158055061,66.800833860005412
274.27425552980486,189788.125,200017.78125,98680.2734375,297917.125,209277.109375,364916.78125,114747.421875,169574.734375,122723.71875,87287.4765625,47231.33984375,72441.328125,nan,105027.328125,nan,nan,81514.1171875,144489.015625,nan,nan,nan,0.00013665078769487644,62.871373044710978
350.06359423780356,95131.0703125,139347.828125,1023868.8125,346232.875,458021.625,148226.859375,nan,144094.15625,126662.5546875,87979.3359375,nan,171205.421875,nan,nan,nan,nan,nan,37424.58984375,nan,nan,nan,0.00016651878781738161,59.37851898667148
327.008152123044,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,425841.0,783821.0625,697751.3125,775241.6875,nan,nan,579997.0625,532045.75,0.00017111842017560316,56.253333776846659
130.52592004723974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,168074.40625,343969.09375,343523.15625,164576.375,nan,nan,239982.359375,352786.6875,0.00017172711567494433,53.440667088004332
230.99040659866952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,251931.8125,329034.03125,132392.015625,nan,542192.875,488063.46875,426185.8125,0.00017278393323278809,50.89587341714698
348.99024239623344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,340493.40625,92984.4609375,74105.7421875,nan,399254.09375,545777.75,345092.1875,0.00017618267429677549,48.582424625458479
291.0841611924451,259027.6875,244183.859375,1991401.375,97754.515625,900268.25,229536.921875,243150.515625,418473.75,1164911.75,169212.734375,nan,493804.875,nan,136542.890625,nan,nan,nan,114315.515625,nan,nan,nan,0.00018982452606423149,46.470145293916808
124.09701825018787,1534403.875,867625.3125,220707.421875,282417.53125,311961.75,nan,163156.609375,176300.3125,572704.3125,199711.625,157039.703125,nan,nan,nan,nan,nan,nan,100952.5703125,nan,nan,nan,0.00019483294288267795,44.53388924000361
79.02146662854763,1421595.625,1490799.0,nan,1822332.25,1169747.625,1283433.5,1287863.0,1165771.375,1307558.25,1366099.75,1327999.625,nan,nan,nan,nan,nan,nan,1113523.75,nan,nan,nan,0.0002514437129074932,42.752533670403466
227.1643182927501,211360.296875,273974.875,175245.375,371714.75,231681.125,219220.5625,257689.359375,183260.515625,231344.890625,236066.78125,184330.15625,nan,nan,nan,152603.1875,nan,207871.6875,nan,nan,nan,nan,0.00028987704469702865,41.108205452311026
122.92473013842363,426876.03125,156232.609375,455557.40625,213117.96875,727142.75,146011.125,318498.625,199259.203125,104499.1171875,92592.375,nan,nan,nan,285474.9375,nan,nan,nan,nan,nan,nan,nan,0.00029048240315622065,39.585679324447653
113.96389926373519,311036.40625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1157108.75,1154375.5,273095.375,456122.75,171443.015625,125581.21875,nan,176109.6875,nan,0.00033293112330341784,38.171905062860233
230.24800860726205,725113.0,209540.046875,341927.84375,258902.390625,nan,538345.4375,116301.3671875,390355.25,168521.546875,70989.4921875,32944.0859375,215694.109375,nan,362955.125,nan,nan,nan,168042.796875,nan,nan,nan,0.00038999443692436865,36.855632474485745
158.1541289437351,535256.4375,534311.75,390843.59375,464892.75,396622.78125,400541.65625,419313.09375,431166.78125,409156.71875,351206.90625,348727.96875,517827.40625,274354.9375,350020.40625,362720.8125,326189.4375,337738.40625,442700.8125,227757.703125,246203.03125,226408.328125,0.00052064654364398371,35.627111392002888
273.0288662335267,nan,193892.5625,765704.9375,155153.96875,nan,nan,nan,114106.5546875,187229.578125,136475.796875,142807.6875,214842.671875,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00071707788296396821,34.47784973419634
143.10684870572172,1109544.75,1031866.4375,660477.4375,881494.0,697079.5,805371.9375,766585.1875,747361.6875,737731.5625,824230.0625,805871.875,905330.8125,383233.09375,586608.0625,585063.1875,679300.0,813841.5,815709.25,365893.1875,461637.5,454704.625,0.00073322710209041493,33.400416930002706
330.3369423648123,308182.625,333131.84375,229202.21875,328971.15625,289085.6875,180086.46875,214196.40625,338783.09375,174022.265625,166504.8125,110471.8125,115149.515625,nan,119431.7421875,nan,90422.96875,126920.6640625,131096.765625,nan,nan,nan,0.00089196973099255495,32.388283083638989
210.17014418265438,430789.21875,462090.96875,244350.984375,366620.625,300844.59375,187528.234375,233418.375,299717.4375,225634.09375,251479.21875,185896.265625,185580.8125,nan,140979.9375,nan,136849.25,161959.1875,223890.765625,nan,nan,nan,0.0010088192353169846,31.435686522355489
