mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a3.mzML,MSS5a2.mzML,MSS6a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS13a.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a3.mzML,MSS11a2.mzML,MSS11a1.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,pval,qval
236.11302530026757,893530.125,827656.875,581856.5625,766109.1875,546049.9375,908914.0625,1065266.0,554688.625,956717.0625,915103.1875,841154.6875,nan,nan,nan,491373.1875,606518.375,863239.0625,401409.4375,470653.9375,479209.0625,352526.40625,0.0024502455595612213,26710.105263157893
192.15959868466453,720566.1875,419161.15625,218604.375,196858.75,202356.8125,1841863.25,2733095.5,347566.75,2718146.0,1153101.375,262976.15625,290684.34375,nan,634410.3125,4595132.5,2843403.0,6415972.0,358719.125,21744670.0,18198456.0,7010301.5,0.0026254017908446557,25374.6
346.99630910201694,nan,nan,nan,nan,nan,176218.234375,112610.5078125,nan,nan,nan,nan,nan,nan,nan,338231.625,nan,nan,nan,404811.5625,391531.21875,409227.90625,0.0027257753939699241,24166.285714285714
151.11194581231567,1782187.5,nan,1046387.5,1456979.125,1115564.5,647585.875,652289.1875,1077212.5,649649.625,688959.25,670768.1875,1055524.25,nan,862990.4375,443123.34375,525048.6875,569097.375,957064.0,264423.8125,304623.5625,322543.90625,0.0031142732975702526,23067.81818181818
415.21188742982105,4496123.0,5478186.0,1184740.0,3108070.25,nan,958073.625,1297992.625,2417572.0,1859602.125,2786446.0,1168886.375,3407330.5,715364.875,1160785.125,472914.84375,657271.5625,430999.0625,3011245.0,nan,366295.0,nan,0.0031322595192307687,22064.869565217392
295.07029071239117,nan,nan,nan,nan,nan,168497.265625,163335.234375,nan,nan,107830.1484375,nan,nan,nan,nan,nan,nan,nan,nan,345510.03125,377420.5625,359379.84375,0.0032551164100633632,21145.5
432.238387181314,nan,10493643.0,nan,nan,1787776.25,1927853.625,2774222.75,nan,3694507.0,6531135.0,2536686.75,4177925.0,1391786.75,1554686.25,973786.625,1631951.0,1024474.4375,5327754.0,537370.875,745632.625,588854.0625,0.003454916828235708,20299.68
433.2416746213583,1550126.0,2975570.75,458394.25,1278989.0,587206.3125,437738.625,729242.0,1297297.5,947786.1875,1574896.125,607704.5,1158064.25,410269.0625,429974.0625,242153.1875,396962.0,261453.859375,1281878.625,162306.1875,nan,nan,0.0036732431500855625,19518.923076923078
371.1013796643529,563603.0,621349.0,476027.25,634543.1875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,387446.21875,nan,nan,179812.546875,281281.4375,223722.953125,0.0040948323772606815,18796.0
169.12240774253533,770013.375,724205.875,428176.4375,693447.75,457736.78125,575555.1875,566027.5,540979.375,589435.375,596428.625,559904.125,nan,nan,343631.875,340616.59375,414316.5,431334.5,572058.4375,nan,nan,nan,0.0043298465753183451,18124.714285714286
97.99156431487461,646979.375,709082.75,653622.875,222724.84375,497716.5625,2114709.0,3857962.25,599332.75,984434.25,492218.90625,876260.8125,752426.3125,14600102.0,1270132.875,1733989.75,1754889.0,1567782.75,1274464.375,2115500.5,1958073.125,2157117.0,0.0053134368252517892,17499.724137931036
209.1136163349476,nan,nan,185022.734375,nan,nan,nan,196912.4375,nan,nan,nan,nan,nan,nan,nan,296152.625,nan,nan,nan,nan,nan,290327.0625,0.0057465178879365728,16916.4
101.05994477997905,2585959.0,2509847.75,1823888.375,2664117.5,nan,1315346.5,1333556.375,2299194.5,1339892.0,1256351.625,1250297.125,2423500.75,1078855.5,1819727.5,923295.875,1116655.875,1259916.625,2153229.75,521687.6875,674990.9375,739349.5625,0.0059354169863981383,16370.709677419354
326.18103993650004,679128.8125,532558.1875,2499291.75,606336.0625,2018139.375,1395913.5,1522557.25,670409.0,1382911.625,691197.625,215567.328125,665718.9375,1423350.75,3262208.75,2534877.0,1735755.5,1094929.375,811434.6875,3269548.0,3441628.75,3054680.25,0.0065959375619814098,15859.125
267.1720644592674,1861244.125,1969175.375,1328900.0,1923543.5,1229543.25,2073561.75,2159833.0,1350522.75,2076900.25,2157481.75,1958666.625,1729597.0,784989.75,1160733.5,1478737.875,1768290.625,1984436.875,1671762.125,918322.0625,1022538.0625,1122808.625,0.0068411959965027193,15378.545454545454
325.1776687316268,3836429.25,3054328.0,14026555.0,3686459.25,11856531.0,8732950.0,8822247.0,3875689.75,6421509.5,3997513.25,1099156.875,3814488.75,7244986.5,18621800.0,14340903.0,9486069.0,6655779.0,4670177.5,20492432.0,20415314.0,18554182.0,0.0068703113120214101,14926.235294117647
88.07594236258714,966876.0625,1149206.25,515241.78125,1004287.375,627615.9375,912485.375,1292637.0,679020.9375,940551.5625,906984.375,784840.1875,926723.375,nan,728731.6875,1096356.875,1183912.0,1787375.125,1127896.5,1745207.75,1606616.375,1264341.875,0.0068804651681216742,14499.771428571428
102.09155110314198,838761.25,789619.8125,484642.0625,812029.0625,475524.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,261874.984375,355437.65625,329132.34375,0.0069696577856777414,14097.0
81.05306901560853,nan,nan,nan,nan,nan,1433494.375,1335663.875,nan,1367358.5,1330565.5,1562860.75,nan,nan,nan,1121517.0,1247520.625,1283233.5,nan,833090.125,891715.4375,904518.0,0.0070501679186543249,13716.0
378.24873408216826,nan,nan,nan,nan,nan,395602.40625,461283.59375,nan,369464.15625,313209.4375,286085.03125,nan,nan,nan,177839.15625,242543.75,319925.96875,nan,147436.765625,209474.078125,107712.453125,0.0077946757292460082,13355.052631578947
140.0537438294696,nan,169769.953125,nan,184327.515625,915987.875,367899.28125,274535.53125,237553.125,287200.0625,142008.3125,nan,nan,nan,nan,436232.1875,nan,nan,nan,1060841.75,1064862.625,832423.75,0.0081488662047850529,13012.615384615385
123.11702566230493,902947.75,879814.1875,596209.375,838292.5,603680.25,743257.25,694398.0625,634567.5625,785016.375,786427.8125,759971.1875,883584.9375,499860.21875,615597.3125,624192.6875,705877.5625,744681.0,801638.0,283268.71875,397283.25,487572.8125,0.008395931350125627,12687.3
268.1753144515707,419183.625,327182.84375,191630.78125,289507.0625,nan,298817.84375,352651.8125,nan,389426.40625,323198.90625,285948.65625,nan,nan,nan,228296.421875,252162.171875,276257.15625,nan,135764.234375,214879.421875,204068.703125,0.0084379967396827592,12377.853658536585
234.13386059876493,527776.375,661758.125,347206.3125,537277.75,448235.25,833517.5625,1101746.125,399013.125,738988.4375,694733.8125,585178.6875,265120.875,nan,205823.15625,320238.75,375466.71875,519223.40625,308669.03125,317903.5625,321214.875,479703.28125,0.0088580783293173201,12083.142857142857
403.2329598643263,2016363.25,970435.0625,593922.5625,862760.25,nan,679639.875,670098.125,940939.5,858340.1875,774525.0,738713.875,941720.625,450778.8125,625833.8125,654645.75,679932.6875,762954.75,869249.625,341836.59375,505503.28125,467328.53125,0.0089899719702712742,11802.139534883721
193.14365136586892,1487629.875,1639643.75,928594.125,1442073.75,969201.0625,987078.25,1118407.25,1149348.5,1041558.4375,1052390.625,1048088.375,1159883.5,569354.5,825852.8125,667919.4375,888079.6875,915624.75,1294027.125,nan,nan,nan,0.009256118245842871,11533.90909090909
330.3369423648123,308182.625,333131.84375,229202.21875,328971.15625,289085.6875,180086.46875,214196.40625,338783.09375,174022.265625,166504.8125,110471.8125,115149.515625,nan,119431.7421875,nan,90422.96875,126920.6640625,131096.765625,nan,nan,nan,0.009934540937291533,11277.6
186.14906119275992,322918.25,329945.3125,210314.953125,305290.96875,nan,172521.59375,224460.84375,242503.28125,200820.0,155339.3125,172825.15625,134754.5625,nan,116517.609375,nan,nan,115354.3828125,143640.875,nan,nan,nan,0.010987312096882321,11032.434782608696
416.2152263328961,1039148.0625,1497923.0,322681.09375,815800.625,395309.625,294784.3125,379780.125,659239.25,479674.1875,746324.0625,313022.1875,881918.0,266813.8125,292853.84375,150419.515625,200219.390625,155150.921875,771688.0625,nan,nan,nan,0.011134878003599294,10797.702127659575
70.01283506989641,1457300.5,1695977.375,1376717.25,491760.28125,1150745.25,4829859.0,7079737.5,1816736.5,1507178.5,771450.0625,1641478.0,1865340.875,65347608.0,3911390.25,2864541.0,3263977.75,3428300.75,3105101.0,3788973.0,3420112.5,3233938.5,0.011443916794064491,10572.75
210.17014418265438,430789.21875,462090.96875,244350.984375,366620.625,300844.59375,187528.234375,233418.375,299717.4375,225634.09375,251479.21875,185896.265625,185580.8125,nan,140979.9375,nan,136849.25,161959.1875,223890.765625,nan,nan,nan,0.011875661591435219,10356.979591836734
113.05991199667535,292084.71875,337430.8125,nan,355082.625,nan,343513.0625,308564.0,317259.0625,326266.34375,336604.375,356802.0625,403513.875,nan,310588.65625,259552.703125,326334.5625,341803.0625,329635.34375,174631.96875,205549.1875,226177.28125,0.012384782565571543,10149.84
306.2554054306401,422354.65625,431025.75,nan,455118.03125,nan,425611.21875,436213.90625,325791.625,395605.75,364224.3125,nan,185171.609375,nan,nan,182261.09375,nan,nan,208788.671875,nan,nan,nan,0.012998080673730421,9950.823529411764
81.52082413472225,742371.875,743083.0625,572347.375,206295.765625,554820.5625,1996926.25,3910300.5,704753.125,741480.0,385197.9375,796059.9375,876792.375,23188784.0,1610430.625,1170187.75,1598529.75,1582187.5,1331031.625,1690108.5,1498390.375,1706871.625,0.013230533892997463,9759.461538461539
187.1330490264579,242150.28125,241888.59375,nan,234867.484375,nan,nan,212385.921875,189510.6875,231371.640625,192254.34375,214410.40625,197061.46875,nan,nan,nan,159755.46875,183908.171875,191979.328125,nan,nan,nan,0.013392839035132862,9575.32075471698
378.2490189412879,850713.0625,606388.3125,393969.84375,506013.96875,610717.25,nan,nan,585023.0625,nan,nan,nan,295810.71875,nan,286816.09375,nan,nan,nan,320319.09375,165240.0625,nan,nan,0.01361585657564489,9398.0
90.05518743323985,nan,nan,nan,nan,nan,446461.9375,340540.15625,nan,345755.03125,nan,nan,nan,nan,nan,498946.34375,nan,nan,nan,981501.6875,850604.1875,757241.875,0.013969259717119504,9227.127272727274
196.97350672143799,nan,216786.28125,223253.625,354812.375,306490.6875,360321.78125,420619.3125,396096.5,229666.203125,184170.84375,106827.203125,nan,nan,nan,165626.921875,nan,122440.046875,85975.9375,nan,nan,nan,0.0152922676829937,9062.357142857143
251.18551927572702,nan,337890.625,nan,nan,254781.21875,292099.0,320126.09375,nan,nan,329651.71875,295291.9375,300865.78125,nan,206709.328125,263032.375,244182.046875,263139.5,321003.40625,nan,152065.75,173644.78125,0.015446889521881963,8903.368421052632
