mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval,mz,MSS12b2.mzML,MSS12b1.mzML,MSS12b3.mzML,MSS12b.mzML,n_blank
283.1177664655883,37.571918466811596,5.570294464138281,15.979042311790252,5.065482283085509,1.3091936686273573,nan,nan,nan,12.685453812120292,26.70798707557825,27.347226651474536,6.925221029548073,4.131740697277041,6.686859434336503,13.864892799077207,9.195696903215884,2.5873217972612355,3.527695543001481,1.8167126071906283,nan,2.04293191205442,13.417796077930115,29.421389259336642,12.38450369688265,7.637940718555394,15.984559995036848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4.0221297733669954e-12,2.2001049860317466e-09,283.1178946868658,nan,nan,0.2870613422983519,nan,0
124.09703586735463,3.2199538054644004,1.0760459291531377,0.5059302394880358,0.9742294972086538,0.4089398229043303,0.27289930039533705,0.32232001950234807,nan,0.5736974788244346,0.6641426183376322,1.382473711932295,0.6865798970104293,0.49004477147031744,1.2721813082845752,1.5970551662108137,0.901117208155498,0.7222376985180824,0.9332347282611739,0.516468056437583,nan,0.6617625581102674,0.7663246469607219,0.8235591956946623,0.6008840537128961,0.37665316893419915,0.538290791618762,nan,nan,nan,nan,nan,0.4583311732944415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3344212959704013,nan,9,1.084296234415468e-11,3.558660241351566e-09,124.09704406604865,0.37812009979146055,nan,nan,nan,9
327.17593850563134,nan,nan,nan,nan,nan,nan,1.3576749884450776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5385622051561127,nan,0.3170285738366047,4.290140874665127,1.592738295487526,2.361160912432194,3.3198015760994912,nan,3.0908239566168842,3.45406182584261,3.5568058647309506,1.4616389552258755,3.2228597759850035,0.6316716391993469,1.0865798864075564,0.6675488752484415,nan,nan,1.0828661861773445,2.7868159737527507,2,9.0334515094234359e-10,2.1176991324234084e-07,327.1759314993903,nan,0.6496312163185469,0.3726650735853027,1.616049981527411,2
223.0966966238663,8.683988248363141,15.520138000266865,5.846905288806361,9.144944419982291,2.2784080396264805,0.6948369031270735,0.959078113598489,1.19375970807825,3.944999884171413,3.0249672514691457,2.020113184437559,1.5149307626695128,1.3283790143693073,5.117627599249742,19.942818726080212,4.338179437986129,5.474103939602748,4.566790509181876,2.0657380362956874,nan,2.897059007760671,5.340559916839176,2.7007962557568588,1.9063845813866418,1.3155933375916173,1.5464595798070075,nan,0.5750867680114774,nan,nan,nan,1.5984828884308064,nan,nan,nan,0.8666523027140789,0.561971187325709,nan,nan,nan,1.1697123724187921,nan,0.48532157530227116,nan,3,2.7923844525754885e-08,5.0914476518626406e-06,223.0967271487328,0.4854951555134378,nan,nan,nan,3
327.0082160428099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.353550452434911,nan,nan,1.4738249727619719,2.5264784414897097,2.385591813957874,2.4161236122974974,nan,nan,1.2878601795442355,1.3972614159542949,2.3982312798308736,1.8830948297681307,2.2560370844622764,2.9292780841588257,1.7077350297735239,nan,nan,1.568427410445341,0.6286810579792846,10,3.8129638750293793e-08,5.214228099102676e-06,327.00819673150835,2.7719509875063446,1.9387344182340616,2.910071232436262,1.3490248988344884,10
404.2200098980612,3.34182446826649,2.050505779874001,1.291251101145746,3.618750303091265,1.0266029054088917,4.4095155879299135,1.1036768775428394,0.9692315042192977,4.46384496053223,2.6302222441909895,1.3217976764255863,1.6804317502910635,0.8975250029960882,6.128820003858559,5.6296649184512955,2.9776551308861925,2.6927863684287296,6.686220423375438,1.847991901176505,0.732422557005813,0.8692635476217794,5.511708487410661,1.6334452834378874,2.3613049418400336,0.8180921200347789,1.1471887540833456,0.11519732563702123,1.663112715058576,nan,nan,nan,2.5008728525861894,nan,nan,nan,5.0154579152236165,nan,nan,nan,0.7985209659032407,2.1084278488010084,nan,nan,1.1279705211398794,7,5.9535239788042287e-08,7.5151791147828769e-06,404.2202288713472,nan,1.0767656303627746,nan,0.8080703860001593,7
294.20662851302734,0.18072532675297084,0.15869862761795595,0.0982815992348233,0.48073771883458827,nan,0.4076054497614707,0.3546621785987219,0.36472576711170757,0.2507305273134946,0.15048386809988615,0.3745200384244874,0.34655166852326336,0.2958899761992309,0.4732767321123904,0.4339814284862754,0.36352565950784144,0.34249331428146146,0.4798142908431641,0.38873324241863505,nan,0.45200844067775464,0.45245217579877584,nan,0.48880429025866756,nan,0.3061302216191573,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.30335292107243556,0.14104021136624809,nan,0.29490782974452945,nan,nan,nan,0.11137051239016564,nan,9,3.1750326772378409e-06,0.00032563928895920603,294.2066249359081,nan,nan,0.21279969391595752,nan,9
305.1281140004943,nan,nan,nan,nan,nan,nan,0.6158994787130285,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1390572099164316,0.6190288890077856,1.0980382586057624,1.3709393367788425,nan,1.3825507044920466,1.4135194708651098,1.6416557611981573,0.5614216308812596,1.432603859878888,nan,nan,nan,nan,nan,nan,1.2118090652607916,1,2.2914184277123012e-05,0.0019790619157241504,305.12815647900817,nan,nan,nan,0.9801324030086912,1
245.0786011340925,0.6063794049018548,1.4821532834224564,6.109418550044783,1.8958725382658557,1.427477547825044,nan,0.4999967331369904,0.9683226598543986,0.9505013272167367,1.0409605221129519,0.886645581459433,0.5622633015450997,0.3390165193783759,0.29931500784188636,0.9937361755230749,0.12945144636550965,1.1250640228080653,nan,0.5143333847182988,nan,0.6661192743521376,0.2125564457721556,0.7885702028746142,0.385410424298485,0.2707028688060555,0.49229947499276566,nan,nan,nan,nan,0.43169806334933586,0.5310337876278726,0.7906169730806697,0.9099501981780613,0.7667896833391573,nan,nan,nan,nan,nan,nan,nan,nan,0.4734346828869243,0,5.0020162160810698e-05,0.0039087183859947789,245.07856854671124,nan,nan,0.4261111074017642,nan,0
227.16436113544952,0.4435405849367668,0.33978901339855705,0.4017170505173826,1.2822698095075868,0.30370273992813546,0.7239873103512183,0.5090718644955144,0.546745213338522,0.5963466218026606,nan,0.55845263026357,0.8115637052084902,0.5752050436743282,0.8417165882992257,0.8154705093191156,0.8169356813301833,0.800129157066071,1.061163232138546,0.4776058710163762,nan,0.83995543931227,0.7934293031134235,nan,0.6661514082444775,0.8317106257169561,0.5213372074067688,nan,nan,0.6774446543999042,nan,0.47039838844674103,nan,nan,nan,nan,nan,nan,0.7009499210757727,0.8461021590790919,0.6318970834454477,nan,nan,0.5252203157301069,nan,9,5.0605637770158693e-05,0.0037747205264013826,227.16438533010557,0.9018621732790869,nan,0.8848156590067514,nan,9
