mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a3.mzML,MSS5a2.mzML,MSS6a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS13a.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b3.mzML,MSS5b2.mzML,MSS6b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS13b.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a3.mzML,MSS11a2.mzML,MSS11a1.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b3.mzML,MSS11b2.mzML,MSS11b1.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
79.02147247950903,1421595.625,1490799.0,nan,1822332.25,1169747.625,1283433.5,1287863.0,1165771.375,1307558.25,1366099.75,1327999.625,nan,1690307.75,1644511.375,1492735.375,1703224.0,1876982.0,1490111.875,nan,1651353.5,1420607.875,1253964.625,1252009.5,nan,nan,nan,nan,nan,nan,1113523.75,nan,nan,nan,1116271.0,nan,nan,1154889.625,1090073.75,1053935.25,nan,nan,nan,9,0.00049283349843799512,0.79444759948204813
81.07013552123634,440398.90625,429621.0625,307915.65625,458971.5,339511.78125,nan,nan,319590.1875,nan,nan,nan,893370.8125,505876.03125,537235.5625,373428.46875,383932.71875,460302.59375,nan,nan,462948.09375,nan,nan,nan,665773.6875,645726.25,506085.21875,nan,nan,nan,649931.1875,nan,nan,nan,841185.625,760281.5625,nan,nan,nan,733002.0625,nan,nan,nan,5,0.0046155826671980052,3.720159629761592
73.06504404109344,253506.53125,304954.6875,210412.109375,257920.375,213432.421875,196274.546875,187181.234375,226210.734375,190508.734375,195154.515625,162623.28125,275114.0625,275960.46875,335197.21875,284860.6875,277033.625,311204.9375,204714.109375,nan,343213.125,196077.171875,161978.203125,204457.234375,277456.875,nan,173788.25,206850.765625,190666.296875,191107.171875,242800.25,nan,131101.28125,143043.125,271597.78125,217610.484375,187057.171875,212313.390625,209932.296875,231146.3125,nan,198685.671875,101591.09375,10,0.0076215753462096246,4.0953264860299718
82.01403520893301,2109450.25,258499.59375,486856.1875,220601.0,360626.90625,349522.625,333761.6875,196692.875,584230.3125,201391.09375,229584.953125,295834.8125,178365.71875,237321.671875,140143.65625,118684.0625,148943.40625,339061.34375,nan,134861.03125,337345.78125,184145.15625,315621.21875,484449.4375,nan,882760.6875,417905.40625,735635.5,367958.3125,249072.953125,581709.375,619366.0625,421001.78125,213964.734375,847812.5,462837.5,349863.5,251255.25,957665.6875,nan,261100.40625,208964.671875,8,0.026098820065931123,10.517824486570243
71.08577451494232,nan,213332.75,141932.203125,214831.375,221340.09375,535275.125,465339.28125,215133.96875,584531.5625,571081.625,535876.625,715783.75,251268.546875,255821.0625,274503.25,219383.75,336806.6875,704946.0625,nan,315218.375,510071.90625,509490.625,581955.75,663733.1875,nan,376307.0625,514603.4375,613080.625,712090.3125,569024.8125,224165.125,347219.625,399283.65625,668242.0625,618592.875,nan,794537.0,748838.1875,672352.0,nan,658907.4375,191856.90625,10,0.059565108631493016,19.203791022793347
71.95213141072483,343407.84375,492726.375,352163.65625,139966.015625,386499.0625,794890.75,1406691.0,480841.65625,351609.0,248175.546875,411651.6875,671238.8125,248055.953125,339862.78125,245095.609375,175239.40625,311369.53125,307036.03125,nan,736484.8125,278779.53125,304055.21875,199518.625,952400.3125,11394235.0,960989.1875,476693.03125,561569.375,480649.5,1025627.375,526248.3125,493434.875,513846.8125,620598.3125,1019571.5,436838.5625,275796.65625,217013.71875,840314.375,nan,427285.3125,81978.90625,11,0.086338426472470503,23.196257245603743
81.520825750967,742371.875,743083.0625,572347.375,206295.765625,554820.5625,1996926.25,3910300.5,704753.125,741480.0,385197.9375,796059.9375,876792.375,234156.28125,445044.03125,182324.796875,252667.078125,262065.015625,682353.4375,nan,407171.0,688632.375,590939.375,505089.0625,937051.9375,23188784.0,1610430.625,1170187.75,1598529.75,1582187.5,1331031.625,1690108.5,1498390.375,1706871.625,679226.625,1121038.25,1319040.125,920316.625,683039.3125,991869.25,6924.56982421875,1305457.375,659830.6875,10,0.089093538411712164,20.516969131382858
76.03953448114619,nan,nan,nan,nan,nan,157313.3125,90000.5625,nan,nan,69805.6328125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133525.25,nan,nan,nan,196564.90625,292616.03125,220342.671875,nan,nan,nan,nan,nan,nan,nan,nan,106339.7421875,0,0.098269290511697124,19.801262038106969
70.01283667247041,1457300.5,1695977.375,1376717.25,491760.28125,1150745.25,4829859.0,7079737.5,1816736.5,1507178.5,771450.0625,1641478.0,1865340.875,499251.875,1160102.5,565731.625,476787.375,584643.6875,1428464.875,nan,921167.5625,1172682.125,1119533.625,1031337.25,1977548.25,65347608.0,3911390.25,2864541.0,3263977.75,3428300.75,3105101.0,3788973.0,3420112.5,3233938.5,1316541.25,2381689.75,2526963.25,1745310.875,1618011.125,2453627.75,10436.6005859375,2532209.25,1191921.625,10,0.11501103915770125,20.599755013579379
76.01777866109806,264323.65625,288324.21875,381533.875,114743.7890625,321915.90625,115664.296875,364080.15625,457879.34375,nan,nan,122972.25,233396.359375,nan,188287.109375,99290.0546875,124878.1171875,144374.625,159458.03125,nan,244766.546875,102927.0078125,75758.9296875,87104.9375,266414.96875,3841201.0,511953.125,104352.1484375,154501.21875,145692.90625,379416.8125,nan,nan,nan,306327.34375,480145.625,168778.640625,145225.78125,92682.9296875,238367.390625,nan,240368.03125,nan,7,0.15299643314655229,24.663025023224229
