mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
300.2019432182595,nan,nan,nan,nan,nan,1248079.0,1669707.875,2294340.75,nan,nan,nan,nan,2071419.875,nan,nan,nan,17739.23046875,nan,1022297.6875,nan,nan,nan,nan,nan,nan,7871498.0,49075284.0,385720.5625,165913.25,127363.2890625,182105.15625,2241077.75,321729.3125,240708.75,171230.359375,347581.375,604926.0625,138817.515625,158456.71875,233402.09375,723908.4375,70208.609375,3457393.5,nan,7,3.3324058601559156e-06,0.00055317937278588202
163.0391754265429,9365993.0,3953511.5,nan,1063729.625,nan,nan,nan,nan,nan,4250764.0,19034970.0,2516767.75,554434.1875,843252.25,2924491.5,2360604.5,nan,552737.0625,692576.625,nan,448205.25,2280752.0,8261932.0,1322555.25,759544.3125,2145939.5,nan,nan,nan,nan,nan,540280.6875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.4454985452959478e-06,0.00052795639247919443
190.1439443080825,131894.390625,114059.953125,145718.0,94914.5390625,nan,154464.75,120173.2890625,nan,155287.25,nan,nan,nan,73083.5859375,124935.15625,196336.671875,79416.1171875,71984.796875,103521.078125,77986.4375,nan,31388.4765625,105515.328125,nan,69658.7265625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27272.3828125,nan,nan,nan,nan,nan,nan,4,1.3597384884626076e-05,0.0019347136207267959
273.02889781226355,nan,193892.5625,765704.9375,155153.96875,nan,nan,nan,nan,114106.5546875,214842.671875,187229.578125,136475.796875,142807.6875,nan,145098.328125,303366.46875,115134.359375,103904.75,116013.796875,nan,134647.015625,201671.671875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.8126785050312693e-05,0.0024072370546815254
145.12252690035726,3101006.0,3421458.25,2239217.75,3551142.0,2454832.75,3137741.25,3204612.75,3155911.75,nan,3908462.5,3227575.25,3582666.0,3538112.75,3908146.25,3563514.0,4120220.5,3597077.0,nan,3547439.25,nan,3686695.0,nan,3843115.0,2840277.25,3349543.0,3599139.75,1539016.375,nan,nan,nan,nan,3510844.25,nan,nan,nan,nan,nan,4174825.0,3863565.75,nan,3826080.75,nan,nan,nan,8,4.4880462746457835e-05,0.0055876176119340005
152.94730577664998,404048.125,732332.8125,nan,312311.25,nan,nan,246601.03125,151558.171875,439296.96875,74096.359375,164887.125,nan,239051.875,592479.6875,492866.3125,615126.25,436495.71875,560440.5,548536.5625,nan,286834.59375,1270124.5,nan,246066.703125,nan,194486.46875,nan,44197.8671875,nan,nan,nan,145268.75,nan,nan,nan,nan,nan,nan,nan,nan,74267.2109375,nan,nan,nan,3,4.5845329478849788e-05,0.0053719939012863991
245.0786011340925,288957.84375,1195073.25,2665177.75,549590.875,1088958.25,nan,253095.578125,388254.40625,292094.15625,314264.78125,367302.28125,163550.546875,108641.203125,96025.390625,375902.375,36653.2890625,334973.0,nan,263990.28125,nan,182563.5625,73762.453125,250333.59375,107970.1875,62508.140625,176476.1875,nan,nan,nan,nan,140048.3125,147622.609375,367030.71875,409802.59375,291976.28125,nan,nan,nan,nan,nan,nan,nan,nan,139219.96875,0,4.8721524105329214e-05,0.005391848667656433
520.1393242561539,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35789.515625,29434.06640625,38062.078125,nan,nan,nan,nan,27148.751953125,nan,68201.78125,70028.7890625,85215.9453125,nan,nan,71547.703125,nan,5,6.155172374915366e-05,0.0064532123004375844
364.9641672708975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,144701.625,111427.734375,167092.6875,286885.09375,nan,351802.03125,404760.5625,290158.8125,nan,nan,nan,nan,nan,nan,nan,nan,101085.53125,1,6.1647869013199143e-05,0.0061401277537146345
258.0286347444263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,764634.6875,112207.7109375,224656.234375,202973.171875,nan,224899.484375,219619.46875,211307.125,nan,864361.5625,nan,nan,nan,nan,nan,nan,nan,0,6.2099604788542031e-05,0.0058905910827988439
