mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
73.06504915663338,253506.53125,nan,210412.109375,257920.375,213432.421875,nan,187181.234375,196274.546875,226210.734375,275114.0625,nan,195154.515625,162623.28125,275960.46875,nan,284860.6875,277033.625,311204.9375,185587.953125,nan,204714.109375,343213.125,277456.875,196077.171875,161978.203125,204457.234375,nan,173788.25,nan,nan,nan,242800.25,nan,131101.28125,114254.1015625,271597.78125,217610.484375,209932.296875,212313.390625,187057.171875,231146.3125,nan,nan,101591.09375,9,0.033286712840541965,66.307131978359592
73.53203514382709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41261.25,nan,nan,nan,nan,nan,nan,nan,125642.5,nan,nan,nan,nan,152699.234375,nan,nan,nan,nan,221689.28125,194516.40625,nan,nan,nan,nan,nan,nan,nan,149088.78125,nan,2,0.059264916055292494,59.027856391071325
73.06502007213447,nan,304954.6875,nan,nan,nan,210288.65625,nan,nan,nan,nan,190508.734375,nan,nan,nan,335197.21875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,191107.171875,190666.296875,206850.765625,nan,nan,nan,143043.125,nan,nan,nan,nan,nan,nan,nan,198685.671875,nan,1,0.062475706188049325,41.48386890886475
71.08577685574038,nan,nan,nan,214831.375,221340.09375,599156.3125,465339.28125,535275.125,215133.96875,715783.75,584531.5625,571081.625,535876.625,251268.546875,255821.0625,274503.25,219383.75,336806.6875,665274.5,nan,704946.0625,315218.375,663733.1875,510071.90625,509490.625,581955.75,nan,376307.0625,712090.3125,613080.625,514603.4375,569024.8125,216645.65625,347219.625,399283.65625,668242.0625,618592.875,748838.1875,794537.0,nan,672352.0,nan,658907.4375,191856.90625,10,0.16227938980555995,80.815136123168855
70.01283662945568,1457300.5,1695977.375,1376717.25,491760.28125,1150745.25,3057418.25,7079737.5,4829859.0,1816736.5,1865340.875,1507178.5,771450.0625,1641478.0,499251.875,1160102.5,565731.625,476787.375,584643.6875,8991263.0,nan,1428464.875,921167.5625,1977548.25,1172682.125,1119533.625,1031337.25,65347608.0,3911390.25,3428300.75,3263977.75,2864541.0,3105101.0,3788973.0,3420112.5,3233938.5,1316541.25,2381689.75,1618011.125,1745310.875,2526963.25,2453627.75,10436.6005859375,2532209.25,1191921.625,10,0.18253768119509775,72.723012188126944
71.95213112815814,343407.84375,492726.375,352163.65625,139966.015625,386499.0625,733935.0625,1406691.0,794890.75,480841.65625,671238.8125,351609.0,248175.546875,411651.6875,248055.953125,339862.78125,245095.609375,175239.40625,311369.53125,2034773.75,nan,307036.03125,736484.8125,952400.3125,278779.53125,304055.21875,199518.625,11394235.0,960989.1875,480649.5,561569.375,476693.03125,1025627.375,526248.3125,493434.875,513846.8125,620598.3125,1019571.5,217013.71875,275796.65625,436838.5625,840314.375,nan,427285.3125,81978.90625,11,0.21181255709354138,70.321768955055731
72.08102402035144,nan,nan,51921.9296875,nan,nan,nan,nan,165902.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,76316.15625,nan,nan,nan,499240.625,379625.59375,314286.75,nan,154925.3125,nan,nan,nan,nan,nan,nan,162979.96875,1,0.25090993462620259,71.401798539342224
73.53201409912464,nan,nan,148511.8125,nan,nan,208084.140625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120515.875,nan,nan,nan,nan,nan,nan,148880.78125,nan,nan,nan,nan,nan,nan,74569.7265625,nan,nan,nan,nan,nan,nan,1,0.35479208703506282,88.34322967173064
70.98067858666673,329411.1875,649751.8125,532792.875,nan,341760.65625,875334.5,1581407.625,790409.4375,452522.8125,302568.5,351950.375,nan,239883.625,nan,299601.59375,nan,234955.1875,nan,2628821.0,nan,nan,332214.5625,325747.625,227255.71875,nan,216162.0625,9081548.0,525319.375,470578.75,407782.125,423375.4375,383602.21875,643680.75,486273.125,494575.96875,404715.375,376926.84375,nan,nan,nan,247620.53125,nan,423937.125,nan,1,0.39152191346571719,86.656850180412064
70.51448533000041,nan,88597.453125,nan,nan,nan,150293.046875,nan,141724.65625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160659.828125,nan,166275.234375,nan,nan,nan,nan,nan,nan,101293.1328125,nan,152074.625,nan,nan,148674.015625,nan,0,0.39961193567990799,79.602697587437675
